step,mloss,gloss,loss
39000.0,0.9513,0.1845,1.1358000000000001
39100.0,0.9633,0.1886,1.1519
39200.0,0.9641,0.1947,1.1588
39300.0,0.9563,0.1891,1.1454
39400.0,0.9486,0.1849,1.1335
39500.0,0.96,0.1843,1.1442999999999999
39600.0,0.9724,0.1886,1.161
39700.0,0.9463,0.1804,1.1267
39800.0,0.9592,0.1848,1.1440000000000001
39900.0,0.9651,0.1829,1.148
40000.0,0.9577,0.1821,1.1398
